#;Company;Symbol;Weight
1;Apple Inc;AAPL;12.967
2;Microsoft Corp;MSFT;10.333
3;Amazon.com Inc;AMZN;5.293
4;Alphabet Inc;GOOG;3.396
5;Alphabet Inc;GOOGL;3.294
6;Tesla Inc;TSLA;3.292
7;NVIDIA Corp;NVDA;3.267
8;PepsiCo Inc;PEP;2.315
9;Meta Platforms Inc;META;2.238
10;Costco Wholesale Corp;COST;2.014
11;Broadcom Inc;AVGO;2.013
12;Cisco Systems Inc;CSCO;1.868
13;T-Mobile US Inc;TMUS;1.718
14;Texas Instruments Inc;TXN;1.464
15;Adobe Inc;ADBE;1.454
16;Comcast Corp;CMCSA;1.442
17;Amgen Inc;AMGN;1.381
18;Honeywell International Inc;HON;1.322
19;QUALCOMM Inc;QCOM;1.285
20;Netflix Inc;NFLX;1.272
21;Advanced Micro Devices Inc;AMD;1.129
22;Intel Corp;INTC;1.105
23;Starbucks Corp;SBUX;1.071
24;Intuit Inc;INTU;1.059
25;Automatic Data Processing Inc;ADP;1.005
26;Gilead Sciences Inc;GILD;0.994
27;Intuitive Surgical Inc;ISRG;0.885
28;Mondelez International Inc;MDLZ;0.842
29;Applied Materials Inc;AMAT;0.831
30;PayPal Holdings Inc;PYPL;0.82
31;Analog Devices Inc;ADI;0.793
32;Vertex Pharmaceuticals Inc;VRTX;0.742
33;Booking Holdings Inc;BKNG;0.738
34;Regeneron Pharmaceuticals Inc;REGN;0.736
35;Moderna Inc;MRNA;0.641
36;CSX Corp;CSX;0.632
37;Fiserv Inc;FISV;0.606
38;Lam Research Corp;LRCX;0.573
39;Charter Communications Inc;CHTR;0.564
40;Micron Technology Inc;MU;0.552
41;Activision Blizzard Inc;ATVI;0.531
42;KLA Corp;KLAC;0.5
43;Keurig Dr Pepper Inc;KDP;0.495
44;Synopsys Inc;SNPS;0.494
45;Monster Beverage Corp;MNST;0.491
46;O'Reilly Automotive Inc;ORLY;0.49
47;Marriott International Inc/MD;MAR;0.484
48;Palo Alto Networks Inc;PANW;0.481
49;ASML Holding NV;ASML;0.475
50;American Electric Power Co Inc;AEP;0.447
51;Cadence Design Systems Inc;CDNS;0.437
52;Kraft Heinz Co/The;KHC;0.437
53;MercadoLibre Inc;MELI;0.427
54;Cintas Corp;CTAS;0.426
55;Lululemon Athletica Inc;LULU;0.422
56;Dexcom Inc;DXCM;0.418
57;NXP Semiconductors NV;NXPI;0.411
58;Paychex Inc;PAYX;0.409
59;Autodesk Inc;ADSK;0.403
60;Biogen Inc;BIIB;0.395
61;Fortinet Inc;FTNT;0.394
62;Microchip Technology Inc;MCHP;0.391
63;Enphase Energy Inc;ENPH;0.384
64;Ross Stores Inc;ROST;0.373
65;Exelon Corp;EXC;0.372
66;AstraZeneca PLC ADR;AZN;0.365
67;Airbnb Inc;ABNB;0.365
68;Pinduoduo Inc ADR;PDD;0.354
69;Marvell Technology Inc;MRVL;0.349
70;Xcel Energy Inc;XEL;0.347
71;PACCAR Inc;PCAR;0.333
72;Electronic Arts Inc;EA;0.33
73;IDEXX Laboratories Inc;IDXX;0.33
74;Walgreens Boots Alliance Inc;WBA;0.322
75;Illumina Inc;ILMN;0.314
76;Workday Inc;WDAY;0.307
77;Old Dominion Freight Line Inc;ODFL;0.304
78;Dollar Tree Inc;DLTR;0.303
79;Cognizant Technology Solutions Corp;CTSH;0.293
80;Copart Inc;CPRT;0.29
81;Constellation Energy Corp;CEG;0.279
82;Fastenal Co;FAST;0.267
83;Verisk Analytics Inc;VRSK;0.264
84;JD.com Inc ADR;JD;0.254
85;Crowdstrike Holdings Inc;CRWD;0.241
86;Sirius XM Holdings Inc;SIRI;0.225
87;eBay Inc;EBAY;0.224
88;Datadog Inc;DDOG;0.205
89;ANSYS Inc;ANSS;0.204
90;Seagen Inc;SGEN;0.201
91;VeriSign Inc;VRSN;0.198
92;Zscaler Inc;ZS;0.185
93;Atlassian Corp;TEAM;0.183
94;Baidu Inc ADR;BIDU;0.179
95;Zoom Video Communications Inc;ZM;0.175
96;Lucid Group Inc;LCID;0.149
97;Align Technology Inc;ALGN;0.142
98;Skyworks Solutions Inc;SWKS;0.138
99;Splunk Inc;SPLK;0.134
100;Match Group Inc;MTCH;0.128
101;NetEase Inc ADR;NTES;0.1
102;DocuSign Inc;DOCU;0.087
